Area Code,Area_Name,Pop_1801,Pop_1811,Pop_1821,Pop_1831,Pop_1841,Pop_1851,Pop_1861,Pop_1871,Pop_1881,Pop_1891,Pop_1901,Pop_1911,Pop_1921,Pop_1931,Pop_1939,Pop_1951,Pop_1961,Pop_1971,Pop_1981,Pop_1991,Pop_2001,City,Country,Address,geometry,latitude,longitude
00AA,City of London,129000,121000,125000,123000,124000,128000,112000,75000,51000,38000,27000,20000,14000,11000,9000,5000,4767,4000,5864,4230,7181,London,United Kingdom,City of London London United Kingdom,"(-0.0919983, 51.5156177)",51.5156177,-0.0919983
00AB,Barking and Dagenham,3000,4000,5000,6000,7000,8000,8000,10000,13000,19000,27000,39000,44000,138000,184000,189000,177092,161000,149786,140728,163944,London,United Kingdom,Barking and Dagenham London United Kingdom,"(0.150504342619943, 51.5541171)",51.5541171,0.150504342619943
00AC,Barnet,8000,9000,11000,13000,14000,15000,20000,29000,41000,58000,76000,118000,147000,231000,296000,320000,318373,307000,293436,284106,314565,London,United Kingdom,Barnet London United Kingdom,"(-0.1729127, 51.6487843)",51.6487843,-0.1729127
00AD,Bexley,5000,6000,7000,9000,11000,12000,15000,22000,29000,37000,54000,60000,76000,95000,179000,205000,209893,217000,215233,211404,218301,London,United Kingdom,Bexley London United Kingdom,"(0.150488, 51.4416793)",51.4416793,0.150488
00AE,Brent,2000,2000,3000,3000,5000,5000,6000,19000,31000,65000,120000,166000,184000,251000,310000,311000,295893,281000,253275,227903,263466,London,United Kingdom,Brent London United Kingdom,"(-0.2991803, 51.5847777)",51.5847777,-0.2991803
00AF,Bromley,8000,9000,11000,12000,14000,16000,22000,42000,62000,83000,100000,116000,127000,165000,237000,268000,294440,305000,296539,282920,295535,London,United Kingdom,Bromley London United Kingdom,"(0.0148142, 51.4028046)",51.4028046,0.0148142
00AG,Camden,100000,128000,163000,199000,229000,270000,307000,342000,357000,370000,377000,353000,341000,326000,301000,258000,245707,207000,172014,165274,198022,London,United Kingdom,Camden London United Kingdom,"(-0.1395604, 51.5423045)",51.5423045,-0.1395604
00AH,Croydon,8000,10000,12000,15000,20000,23000,33000,60000,85000,110000,143000,190000,213000,271000,297000,310000,327427,334000,317980,301904,330584,London,United Kingdom,Croydon London United Kingdom,"(-0.101957, 51.3713049)",51.3713049,-0.101957
00AJ,Ealing,7000,8000,9000,11000,13000,14000,20000,31000,47000,63000,95000,165000,181000,226000,285000,311000,301646,301000,279846,264867,300943,London,United Kingdom,Ealing London United Kingdom,"(-0.3051952, 51.5126553)",51.5126553,-0.3051952
00AK,Enfield,11000,13000,16000,17000,18000,19000,23000,30000,42000,68000,105000,155000,167000,201000,272000,288000,273857,268000,258770,250750,273565,London,United Kingdom,Enfield London United Kingdom,"(-0.0810175, 51.6520851)",51.6520851,-0.0810175
00AL,Greenwich,35000,46000,50000,56000,70000,90000,125000,123000,139000,175000,210000,213000,237000,244000,243000,236000,229810,218000,211840,201545,214402,London,United Kingdom,Greenwich London United Kingdom,"(-0.0045417, 51.4820845)",51.4820845,-0.0045417
00AM,Hackney,50000,64000,80000,105000,128000,170000,218000,261000,329000,372000,389000,385000,379000,364000,332000,265000,257522,220000,180434,162772,202825,London,United Kingdom,Hackney London United Kingdom,"(-0.0493621, 51.5432402)",51.5432402,-0.0493621
00AN,Hammersmith and Fulham,10000,13000,15000,18000,23000,30000,40000,66000,115000,189000,250000,275000,288000,286000,259000,241000,222124,187000,148447,137720,165238,London,United Kingdom,Hammersmith and Fulham London United Kingdom,"(-0.2236401, 51.4920377)",51.4920377,-0.2236401
00AP,Haringey,6000,7000,9000,10000,13000,14000,21000,37000,73000,142000,209000,271000,285000,307000,292000,277000,259156,240000,203553,186490,216505,London,United Kingdom,Haringey London United Kingdom,"(-0.10541010599099, 51.58792985)",51.58792985,-0.10541010599099
00AQ,Harrow,4000,5000,5000,7000,7000,8000,9000,11000,13000,15000,24000,42000,49000,97000,190000,219000,209080,203000,196571,194893,206822,London,United Kingdom,Harrow London United Kingdom,"(-0.33727515543507, 51.5967688)",51.5967688,-0.33727515543507
00AR,Havering,6000,7000,8000,9000,11000,11000,12000,15000,16000,20000,26000,33000,38000,77000,139000,192000,245598,248000,240849,225144,224262,London,United Kingdom,Havering London United Kingdom,"(-0.144303179891979, 51.5443687)",51.5443687,-0.144303179891979
00AS,Hillingdon,9000,11000,12000,14000,17000,18000,20000,21000,23000,25000,29000,38000,48000,84000,159000,210000,228370,235000,229913,228476,243006,London,United Kingdom,Hillingdon London United Kingdom,"(-0.448334931179497, 51.5425193)",51.5425193,-0.448334931179497
00AT,Hounslow,14000,16000,19000,22000,25000,27000,32000,41000,55000,68000,85000,109000,117000,156000,196000,211000,208893,207000,200829,196602,212352,London,United Kingdom,Hounslow London United Kingdom,"(-0.3613471, 51.4686132)",51.4686132,-0.3613471
00AU,Islington,65000,83000,108000,137000,168000,220000,283000,337000,401000,429000,436000,415000,407000,392000,343000,271000,261232,202000,160890,154873,175789,London,United Kingdom,Islington London United Kingdom,"(-0.0999051, 51.5384287)",51.5384287,-0.0999051
